name,longitude,latitude
Expo Line,-122.959266,49.21213
Expo Line,-122.95709,49.20927
Expo Line,-122.956699,49.208786
Expo Line,-122.956474,49.208226
Expo Line,-122.956476,49.207593
Expo Line,-122.956646,49.207197
Expo Line,-122.956942,49.206763
Expo Line,-122.958425,49.204793
Expo Line,-122.958634,49.204454
Expo Line,-122.958719,49.204206
Expo Line,-122.958756,49.203897
Expo Line,-122.958742,49.203492
Expo Line,-122.958681,49.202665
Expo Line,-122.958529,49.202196
Expo Line,-122.958172,49.201624
Expo Line,-122.957788,49.201209
Expo Line,-122.957125,49.200682
Expo Line,-122.956469,49.200323
Expo Line,-122.955717,49.200016
Expo Line,-122.954613,49.199689
Expo Line,-122.953442,49.199525
Expo Line,-122.952001,49.199479
Expo Line,-122.951199,49.199555
Expo Line,-122.949845,49.199832
Expo Line,-122.947134,49.200555
Expo Line,-122.945551,49.200908
Expo Line,-122.944599,49.201011
Expo Line,-122.943719,49.201099
Expo Line,-122.942274,49.20127
Expo Line,-122.941663,49.201344
Expo Line,-122.940917,49.201597
Expo Line,-122.939312,49.202282
Expo Line,-122.938667,49.202546
Expo Line,-122.93537,49.203557
Expo Line,-122.934249,49.203791
Expo Line,-122.933676,49.203836
Expo Line,-122.932907,49.203785
Expo Line,-122.931845,49.203671
Expo Line,-122.928908,49.203345
Expo Line,-122.92828,49.203204
Expo Line,-122.927612,49.202991
Expo Line,-122.927162,49.20274
Expo Line,-122.925939,49.201859
Expo Line,-122.925089,49.201297
Expo Line,-122.924091,49.200941
Expo Line,-122.92307,49.200802
Expo Line,-122.921612,49.200549
Expo Line,-122.917752,49.200147
Expo Line,-122.916629,49.200066
Expo Line,-122.915893,49.200104
Expo Line,-122.91515,49.20023
Expo Line,-122.912428,49.201551
Expo Line,-122.910874,49.202399
Expo Line,-122.909094,49.203389
Expo Line,-122.904914,49.205442
Expo Line,-122.903288,49.20624
Expo Line,-122.902247,49.206636
Expo Line,-122.901302,49.206661
Expo Line,-122.898814,49.206048
Expo Line,-122.893066,49.204596
Expo Line,-122.887934,49.203497
Expo Line,-122.886772,49.203346
Expo Line,-122.885157,49.203313
Expo Line,-122.881866,49.203553
Expo Line,-122.878785,49.203879
Expo Line,-122.877384,49.204082
Expo Line,-122.873382,49.204554
Expo Line,-122.870711,49.204886
Expo Line,-122.869873,49.205036
Expo Line,-122.868822,49.2053
Expo Line,-122.862395,49.206936
Expo Line,-122.861663,49.20706
Expo Line,-122.860483,49.207137
Expo Line,-122.859526,49.20711
Expo Line,-122.858773,49.206994
Expo Line,-122.857438,49.2066
Expo Line,-122.85661,49.206165
Expo Line,-122.853528,49.204141
Expo Line,-122.851918,49.203056
